"zi","total_curse","curse_normale","curse_suspecte","verificate","detectate","nedetectate"
1,487,486,1,138,1,0
2,351,348,3,40,0,3
3,437,435,2,97,0,2
4,580,578,2,174,0,2
5,494,490,4,144,3,1
6,347,345,2,38,1,1
7,444,442,2,102,0,2
8,310,308,2,19,0,2
9,350,350,0,39,0,0
10,295,294,1,15,0,1
11,303,302,1,16,0,1
12,481,478,3,133,0,3
13,357,354,3,43,0,3
14,309,305,4,19,0,4
15,265,265,0,13,0,0
16,399,396,3,69,0,3
17,464,460,4,118,0,4
18,438,434,4,97,1,3
19,402,402,0,71,0,0
20,232,231,1,12,0,1
21,444,440,4,102,0,4
22,478,475,3,130,1,2
23,470,464,6,123,3,3
24,422,418,4,85,1,3
25,341,340,1,35,0,1
26,417,414,3,82,0,3
27,482,481,1,134,1,0
28,361,359,2,46,1,1
29,389,388,1,63,0,1
30,323,320,3,25,0,3
31,381,381,0,58,0,0
32,284,284,0,14,0,0
33,486,484,2,137,0,2
34,429,427,2,91,2,0
35,425,423,2,88,0,2
36,317,314,3,23,0,3
37,483,483,0,135,0,0
38,398,396,2,69,0,2
39,377,372,5,55,0,5
40,286,285,1,14,0,1
41,523,519,4,157,2,2
42,445,444,1,103,0,1
43,497,494,3,147,0,3
44,248,246,2,12,0,2
45,286,282,4,14,0,4
46,373,372,1,53,0,1
47,427,425,2,89,0,2
48,379,378,1,56,0,1
49,353,351,2,41,0,2
50,356,352,4,43,2,2
51,353,350,3,41,0,3
52,383,381,2,59,0,2
53,293,293,0,15,0,0
54,309,307,2,19,0,2
55,511,509,2,153,1,1
56,484,481,3,136,1,2
57,457,455,2,113,0,2
58,462,460,2,117,0,2
59,321,320,1,24,0,1
60,415,413,2,80,0,2
61,417,415,2,82,1,1
62,426,423,3,88,0,3
63,383,379,4,59,1,3
64,353,352,1,41,0,1
65,441,439,2,100,1,1
66,324,322,2,26,0,2
67,455,452,3,111,0,3
68,351,347,4,40,2,2
69,444,443,1,102,0,1
70,315,313,2,22,0,2
71,520,517,3,156,1,2
72,399,399,0,69,0,0
73,584,583,1,175,1,0
74,434,432,2,94,1,1
75,348,345,3,38,0,3
76,525,521,4,158,2,2
77,323,322,1,25,0,1
78,348,345,3,38,0,3
79,320,316,4,24,0,4
80,319,317,2,24,0,2
81,369,368,1,50,0,1
82,410,408,2,77,0,2
83,450,448,2,107,0,2
84,355,355,0,42,0,0
85,452,449,3,108,0,3
86,345,344,1,37,0,1
87,435,433,2,95,0,2
88,223,221,2,11,0,2
89,406,404,2,74,0,2
90,238,236,2,12,0,2
91,215,213,2,11,0,2
92,371,367,4,51,0,4
93,412,408,4,78,1,3
94,493,491,2,144,2,0
95,374,372,2,53,0,2
96,447,445,2,104,1,1
97,281,280,1,14,0,1
98,342,340,2,35,0,2
99,538,536,2,161,1,1
100,440,438,2,99,0,2
101,290,290,0,14,0,0
102,396,394,2,67,0,2
103,455,453,2,111,1,1
104,569,565,4,171,0,4
105,435,430,5,95,0,5
106,373,372,1,53,0,1
107,366,364,2,48,0,2
108,492,484,8,143,2,6
109,549,546,3,165,1,2
110,252,252,0,13,0,0
111,475,474,1,128,0,1
112,446,442,4,104,0,4
113,272,270,2,14,1,1
114,461,460,1,116,1,0
115,456,454,2,112,1,1
116,422,419,3,85,0,3
117,334,332,2,31,1,1
118,564,562,2,169,0,2
119,450,450,0,107,0,0
120,338,337,1,33,1,0
121,320,319,1,24,0,1
122,473,471,2,126,0,2
123,452,450,2,108,1,1
124,371,370,1,51,0,1
125,402,398,4,71,1,3
126,358,357,1,44,0,1
127,329,328,1,28,0,1
128,517,514,3,155,0,3
129,392,391,1,65,0,1
130,638,636,2,191,0,2
131,405,404,1,73,0,1
132,459,458,1,114,1,0
133,333,331,2,30,0,2
134,483,480,3,135,0,3
135,249,248,1,12,0,1
136,335,331,4,31,1,3
137,404,402,2,73,0,2
138,423,421,2,86,0,2
139,407,405,2,75,0,2
140,414,410,4,80,0,4
141,319,317,2,24,0,2
142,300,297,3,15,0,3
143,444,441,3,102,0,3
144,353,353,0,41,0,0
145,262,260,2,13,0,2
146,586,583,3,176,2,1
147,462,458,4,117,0,4
148,360,360,0,45,0,0
149,455,454,1,111,0,1
150,380,378,2,57,0,2
151,447,445,2,104,0,2
152,381,377,4,58,0,4
153,388,386,2,62,0,2
154,477,474,3,129,0,3
155,420,418,2,84,0,2
156,447,446,1,104,0,1
157,597,596,1,179,0,1
158,343,343,0,36,0,0
159,522,521,1,157,0,1
160,353,351,2,41,1,1
161,384,383,1,60,1,0
162,279,277,2,14,1,1
163,344,342,2,36,1,1
164,405,404,1,73,0,1
165,369,367,2,50,0,2
166,383,381,2,59,0,2
167,474,471,3,127,0,3
168,535,531,4,160,0,4
169,334,334,0,31,0,0
170,442,441,1,101,0,1
171,377,376,1,55,0,1
172,302,300,2,16,0,2
173,295,295,0,15,0,0
174,451,448,3,108,1,2
175,448,445,3,105,0,3
176,374,372,2,53,0,2
177,400,398,2,70,0,2
178,378,376,2,56,0,2
179,325,321,4,26,1,3
180,401,400,1,71,0,1
181,459,457,2,114,0,2
182,243,241,2,12,0,2
183,352,351,1,40,0,1
184,332,332,0,30,0,0
185,461,457,4,116,1,3
186,258,257,1,13,0,1
187,448,447,1,105,0,1
188,404,401,3,73,0,3
189,342,339,3,35,0,3
190,519,518,1,156,0,1
191,372,371,1,52,0,1
192,418,417,1,83,0,1
193,450,448,2,107,0,2
194,328,326,2,28,0,2
195,397,394,3,68,0,3
196,320,318,2,24,0,2
197,396,396,0,67,0,0
198,315,314,1,22,0,1
199,443,441,2,101,0,2
200,334,330,4,31,1,3
201,440,438,2,99,0,2
202,496,494,2,146,1,1
203,440,437,3,99,1,2
204,445,442,3,103,1,2
205,465,461,4,119,0,4
206,269,266,3,13,0,3
207,292,291,1,15,0,1
208,511,509,2,153,2,0
209,323,322,1,25,0,1
210,579,574,5,174,1,4
211,200,198,2,10,0,2
212,460,457,3,115,0,3
213,462,460,2,117,1,1
214,321,318,3,24,0,3
215,370,368,2,51,0,2
216,406,405,1,74,0,1
217,316,314,2,22,0,2
218,330,329,1,29,0,1
219,347,345,2,38,2,0
220,545,543,2,164,0,2
221,451,448,3,108,0,3
222,442,440,2,101,1,1
223,444,441,3,102,0,3
224,390,390,0,63,0,0
225,352,351,1,40,0,1
226,469,467,2,123,0,2
227,420,417,3,84,0,3
228,343,342,1,36,0,1
229,373,367,6,53,3,3
230,399,396,3,69,0,3
231,385,385,0,60,0,0
232,335,335,0,31,0,0
233,269,269,0,13,0,0
234,335,335,0,31,0,0
235,399,398,1,69,1,0
236,386,383,3,61,1,2
237,443,437,6,101,1,5
238,290,288,2,14,0,2
239,360,356,4,45,1,3
240,500,496,4,150,1,3
241,445,442,3,103,0,3
242,351,350,1,40,0,1
243,358,355,3,44,1,2
244,518,515,3,155,2,1
245,342,341,1,35,0,1
246,501,497,4,150,0,4
247,397,394,3,68,0,3
248,703,702,1,211,0,1
249,393,392,1,65,0,1
250,413,411,2,79,0,2
251,251,251,0,13,0,0
252,444,442,2,102,0,2
253,412,409,3,78,0,3
254,573,571,2,172,1,1
255,417,415,2,82,0,2
256,327,323,4,27,0,4
257,406,406,0,74,0,0
258,513,511,2,154,0,2
259,433,432,1,94,0,1
260,317,317,0,23,0,0
261,278,276,2,14,0,2
262,348,345,3,38,0,3
263,580,577,3,174,2,1
264,442,442,0,101,0,0
265,316,315,1,22,0,1
266,352,351,1,40,0,1
267,410,410,0,77,0,0
268,413,410,3,79,1,2
