"zi","total_curse","curse_normale","curse_suspecte","verificate","detectate","nedetectate"
1,414,414,0,21,0,0
2,386,384,2,19,0,2
3,478,476,2,24,0,2
4,325,324,1,16,0,1
5,184,183,1,9,0,1
6,319,318,1,16,0,1
7,267,263,4,13,0,4
8,559,555,4,28,0,4
9,544,542,2,27,0,2
10,280,277,3,14,0,3
11,425,423,2,21,0,2
12,548,542,6,27,0,6
13,622,620,2,31,1,1
14,431,428,3,22,0,3
15,404,404,0,20,0,0
16,316,314,2,16,0,2
17,483,481,2,24,0,2
18,287,286,1,14,0,1
19,360,360,0,18,0,0
20,704,700,4,35,0,4
21,417,416,1,21,0,1
22,409,407,2,20,0,2
23,459,459,0,23,0,0
24,273,273,0,14,0,0
25,395,393,2,20,0,2
26,353,351,2,18,0,2
27,329,329,0,16,0,0
28,225,225,0,11,0,0
29,352,349,3,18,0,3
30,360,355,5,18,1,4
31,385,381,4,19,0,4
32,286,286,0,14,0,0
33,473,472,1,24,0,1
34,309,307,2,15,1,1
35,302,297,5,15,1,4
36,428,428,0,21,0,0
37,264,264,0,13,0,0
38,461,459,2,23,0,2
39,672,669,3,34,0,3
40,427,426,1,21,0,1
41,421,421,0,21,0,0
42,426,423,3,21,0,3
43,297,294,3,15,0,3
44,504,502,2,25,0,2
45,381,378,3,19,0,3
46,447,443,4,22,0,4
47,347,346,1,17,0,1
48,412,411,1,21,0,1
49,452,449,3,23,0,3
50,513,510,3,26,0,3
51,417,417,0,21,0,0
52,460,459,1,23,0,1
53,572,566,6,29,0,6
54,376,374,2,19,0,2
55,489,486,3,24,0,3
56,543,540,3,27,0,3
57,356,354,2,18,1,1
58,419,414,5,21,1,4
59,358,355,3,18,0,3
60,240,239,1,12,0,1
61,253,252,1,13,0,1
62,412,407,5,21,0,5
63,313,312,1,16,0,1
64,352,349,3,18,0,3
65,537,534,3,27,0,3
66,543,543,0,27,0,0
67,485,483,2,24,0,2
68,461,457,4,23,0,4
69,246,246,0,12,0,0
70,389,386,3,19,1,2
71,468,465,3,23,0,3
72,423,420,3,21,0,3
73,394,391,3,20,0,3
74,343,341,2,17,0,2
75,310,306,4,16,0,4
76,334,333,1,17,0,1
77,472,465,7,24,1,6
78,476,475,1,24,0,1
79,376,372,4,19,0,4
80,456,453,3,23,0,3
81,464,461,3,23,0,3
82,486,485,1,24,0,1
83,338,334,4,17,0,4
84,263,263,0,13,0,0
85,340,337,3,17,0,3
86,379,378,1,19,0,1
87,256,253,3,13,0,3
88,329,328,1,16,0,1
89,387,386,1,19,0,1
90,440,438,2,22,0,2
91,428,426,2,21,0,2
92,203,203,0,10,0,0
93,546,542,4,27,0,4
94,422,419,3,21,0,3
95,419,417,2,21,0,2
96,376,375,1,19,0,1
97,445,445,0,22,0,0
98,340,336,4,17,0,4
99,480,478,2,24,0,2
100,487,480,7,24,0,7
101,326,325,1,16,0,1
102,333,330,3,17,0,3
103,380,379,1,19,0,1
104,543,541,2,27,0,2
